City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,las tablas,7.7667,-80.2833,29.54,76,60,6.21,PA,1702493147
83,bethel,41.3712,-73.414,7.54,47,0,4.63,US,1702493165
84,murun-kuren,49.6342,100.1625,-20.88,80,100,1.27,MN,1702493165
85,palmer,42.1584,-72.3287,6.8,41,40,6.69,US,1702493166
86,vila velha,-20.3297,-40.2925,27.97,79,40,5.66,BR,1702493166
87,troitskoye,52.9821,84.6757,-26.94,98,94,2.05,RU,1702493166
88,puerto ayora,-0.7393,-90.3518,29.98,80,97,5.13,EC,1702493166
89,hermanus,-34.4187,19.2345,16.67,73,100,4.7,ZA,1702493166
90,villa regina,-39.1,-67.0667,30.55,15,0,3.13,AR,1702493167
91,colonia,50.9333,6.95,9.42,82,100,1.13,DE,1702493044
92,srikakulam,18.3,83.9,20.27,77,58,2.33,IN,1702493167
93,muroto-misakicho,33.2833,134.15,13.3,64,1,1.06,JP,1702493167
94,saacow,1.6279,42.4407,27.59,68,25,4.84,SO,1702493168
95,edinburgh of the seven seas,-37.0676,-12.3116,14.97,85,100,5.12,SH,1702493168
96,queenstown,-31.8976,26.8753,13.87,86,4,2.75,ZA,1702493168
97,kone,-21.0595,164.8658,23.69,69,38,1.79,NC,1702493168
98,saint-joseph,-21.3667,55.6167,25.21,83,79,1.57,RE,1702493168
99,arno,60.1167,18.6333,-1.23,88,100,6.45,SE,1702493169
100,lolodorf,3.2333,10.7333,23.61,70,100,0.51,CM,1702493169
101,ormara,25.2088,64.6357,23.81,46,98,1.77,PK,1702493169
102,tefe,-3.3542,-64.7114,32.06,62,40,2.57,BR,1702493169
103,lebu,-37.6167,-73.65,14.46,68,0,8.73,CL,1702493170
104,taiyuan,37.8694,112.5603,-5.08,86,40,3.0,CN,1702493170
105,saint-pierre,-21.3393,55.4781,25.82,83,75,1.03,RE,1702493170
106,hinton,53.4001,-117.5857,2.38,45,100,2.91,CA,1702493170
107,sierra grande,-41.606,-65.3557,29.44,11,2,6.81,AR,1702493170
108,khandyga,62.6667,135.6,-33.15,99,100,0.67,RU,1702493058
109,pedernales,18.0384,-71.744,29.22,55,100,2.18,DO,1702493171
110,saipan,15.1355,145.701,27.39,83,75,5.66,MP,1702493171
111,hadibu,12.65,54.0333,24.68,74,17,3.79,YE,1702493171
112,qaqortoq,60.7167,-46.0333,-12.42,56,23,7.09,GL,1702493172
113,la'ie,21.6477,-157.9253,24.14,72,27,7.01,US,1702493172
114,kronenwetter,44.8222,-89.5904,2.04,54,0,3.6,US,1702493172
115,blackmans bay,-43.0167,147.3167,15.07,93,100,2.21,AU,1702493173
116,pailin,12.849,102.6093,22.09,78,95,0.25,KH,1702492948
117,cochrane,51.1834,-114.4687,11.58,29,0,6.17,CA,1702492944
118,madalena,41.2162,-8.3345,11.37,87,0,1.23,PT,1702493173
119,tazovsky,67.4667,78.7,-21.83,99,98,2.67,RU,1702493173
120,moyale,3.5167,39.0584,24.07,59,92,2.06,KE,1702493174
121,badger,64.8,-147.5333,-14.07,85,100,0.0,US,1702493174
122,kangasniemi,61.9936,26.6479,-4.99,96,100,3.08,FI,1702493174
123,tralee,52.2704,-9.7026,8.14,81,20,3.6,IE,1702493174
124,atafu village,-8.5421,-172.5159,26.61,88,100,7.82,TK,1702493175
125,tasqala,51.1167,50.3167,-10.26,48,100,7.6,KZ,1702493175
126,whitehorse,60.7161,-135.0538,-3.57,74,40,8.23,CA,1702493175
127,az zuwaytinah,30.9522,20.1202,19.46,50,1,3.23,LY,1702493176
128,kamloops,50.6665,-120.3192,3.1,74,75,4.63,CA,1702493076
129,mhangura,-16.8939,30.1683,19.93,88,100,1.37,ZW,1702493176
130,isafjordur,66.0755,-23.124,6.02,70,75,5.14,IS,1702493176
131,kayyerkan,69.3786,87.7439,-22.9,88,98,4.4,RU,1702493176
132,iqaluit,63.7506,-68.5145,-14.15,72,75,1.54,CA,1702493177
133,nagqu,31.5,92.0,-30.51,100,5,1.86,CN,1702493177
134,port alfred,-33.5906,26.891,18.99,88,74,2.24,ZA,1702493050
135,yima,34.7381,111.8839,-2.77,94,100,4.61,CN,1702493178
136,zhongshan,21.3226,110.5829,22.23,93,94,7.76,CN,1702493178
137,kodiak,57.79,-152.4072,-7.27,73,100,6.69,US,1702493178
138,novobureyskiy,49.798,129.8774,-32.71,99,5,0.5,RU,1702493178
139,kapuskasing,49.4169,-82.4331,-11.95,79,100,5.66,CA,1702493179
140,malanje,-9.5402,16.341,19.05,98,83,2.02,AO,1702493179
141,nova vicosa,-17.8919,-39.3719,27.97,61,65,5.33,BR,1702493179
142,touros,-5.1989,-35.4608,28.68,61,6,8.2,BR,1702492977
143,st. john's,47.5649,-52.7093,4.43,81,75,8.75,CA,1702492896
144,rodolfo sanchez taboada,31.7167,-116.5667,16.17,67,0,0.89,MX,1702493180
145,olonkinbyen,70.9221,-8.7187,1.09,97,100,8.79,SJ,1702493180
146,bhatapara,21.7333,81.9333,17.89,55,100,2.84,IN,1702493180
147,tucurui,-3.7661,-49.6725,31.77,58,100,0.31,BR,1702493181
148,ambon,-3.6954,128.1814,26.71,14,40,1.03,ID,1702493181
149,carloforte,39.145,8.3058,16.42,88,100,5.44,IT,1702493181
150,nantucket,41.2835,-70.0995,8.08,49,0,7.72,US,1702493008
151,malvan,16.0667,73.4667,24.6,62,0,2.77,IN,1702493181
152,jaisalmer,26.9147,70.9181,18.96,17,94,3.11,IN,1702493182
153,vorgashor,67.5833,63.95,-16.21,96,100,4.06,RU,1702493182
154,suluova,40.8313,35.6479,2.92,93,40,0.0,TR,1702493182
155,belmopan,17.25,-88.7667,22.21,98,100,0.29,BZ,1702493182
156,anadyr,64.75,177.4833,-24.72,77,40,2.0,RU,1702493182
157,kapustin yar,48.5831,45.7372,-5.84,84,100,5.74,RU,1702493182
158,ponteareas,42.1833,-8.5,11.36,87,20,2.57,ES,1702493183
159,rosarito,32.3333,-117.0333,18.56,65,0,1.79,MX,1702493183
160,shevchenkove,49.6959,37.1735,-6.24,95,98,4.88,UA,1702493183
161,shingu,33.7333,135.9833,8.23,72,5,2.31,JP,1702493183
162,montefiascone,42.5393,12.0362,11.73,94,100,2.68,IT,1702493183
163,torghay,49.6339,63.4981,-15.89,63,88,4.58,KZ,1702493184
164,el nido,11.1858,119.3956,28.22,75,15,8.51,PH,1702493184
165,kulhudhuffushi,6.6221,73.07,27.84,80,68,5.13,MV,1702493184
166,maumere,-8.6199,122.2111,26.84,78,100,2.61,ID,1702492916
167,newport,51.5877,-2.9984,6.92,83,84,5.24,GB,1702493015
168,chernyshevsk,52.5243,117.0174,-35.37,100,21,0.43,RU,1702493185
169,riachao das neves,-11.7461,-44.91,36.87,22,4,2.07,BR,1702493186
170,timbuktu,16.7735,-3.0074,22.94,14,72,4.85,ML,1702493186
171,tiksi,71.6872,128.8694,-17.52,98,100,4.02,RU,1702493186
172,fort bragg,35.139,-79.006,15.46,37,0,6.17,US,1702493139
173,holualoa,19.6228,-155.9522,23.77,80,40,2.06,US,1702493186
174,fisterra,42.9049,-9.2629,12.08,67,4,7.57,ES,1702493187
175,yala,6.3333,101.25,23.58,98,100,0.83,TH,1702493187
176,businga,3.3333,20.8833,22.62,63,74,0.99,CD,1702493187
177,garissa,-0.4536,39.6401,28.89,67,88,5.1,KE,1702493187
178,kralendijk,12.15,-68.2667,29.99,70,40,10.29,BQ,1702493187
179,enkoping,59.6361,17.0777,-4.08,92,39,4.06,SE,1702493188
180,hithadhoo,-0.6,73.0833,28.35,72,74,1.53,MV,1702493188
181,felipe carrillo puerto,19.5833,-88.05,25.63,90,72,1.61,MX,1702493019
182,borogontsy,62.6683,131.1683,-33.35,99,100,0.33,RU,1702493189
183,namibe,-15.1961,12.1522,22.68,74,100,4.31,AO,1702493189
184,freetown,8.484,-13.2299,29.84,66,20,3.09,SL,1702493189
185,weno,7.4515,151.8468,27.97,83,75,3.09,FM,1702493190
186,balboa,2.0396,-77.2168,25.45,63,99,0.87,CO,1702493190
187,mahanje,-9.9333,35.3333,20.51,86,7,1.78,TZ,1702493190
188,east ballina,-28.8667,153.5833,20.87,81,100,4.48,AU,1702493190
189,port elizabeth,-33.918,25.5701,19.5,89,75,6.69,ZA,1702493191
190,troitsko-pechorsk,62.7084,56.1964,-14.06,87,100,4.47,RU,1702493191
191,igarka,67.4667,86.5833,-24.99,95,97,5.51,RU,1702493191
192,vershino-darasunskiy,52.35,115.5167,-31.09,98,5,1.57,RU,1702493191
193,serenje,-13.2325,30.2352,19.38,87,100,0.47,ZM,1702493192
194,kargasok,59.0556,80.8572,-17.8,96,100,4.02,RU,1702493102
195,margate,51.3813,1.3862,7.72,88,100,7.15,GB,1702493192
